Regiao,Mes,Consumo_MWh
Norte,JAN,1193981.647
Nordeste,JAN,3374101.79
Sudeste,JAN,7814175.188
Sul,JAN,3083083.306
Centro-Oeste,JAN,1524369.851
Norte,JAN,1372158.401
Nordeste,JAN,2913218.014
Sul,JAN,3083083.306
Norte,JAN,1114404.424
Nordeste,JAN,3236557.183
Sudeste,JAN,7234937.388
Sul,JAN,2713891.613
Centro-Oeste,JAN,1395353.708
Norte,JAN,1207910.497
Nordeste,JAN,2804104.169
Sul,JAN,2713891.613
Norte,JAN,1122698.505
Nordeste,JAN,3168933.338
Sudeste,JAN,7065125.173
Sul,JAN,2703759.827
Centro-Oeste,JAN,1381912.633
Norte,JAN,1193657.239
Nordeste,JAN,2754555.268
Sul,JAN,2703759.827
Norte,JAN,908625.49
Nordeste,JAN,2805490.418
Sudeste,JAN,6105433.174
Sul,JAN,2347904.734
Centro-Oeste,JAN,1152181.114
Norte,JAN,961187.234
Nordeste,JAN,2462009.608
Sul,JAN,2347904.734
Norte,JAN,878646.425
Nordeste,JAN,2687342.07
Sudeste,JAN,5943408.605
Sul,JAN,2347817.757
Centro-Oeste,JAN,1157091.044
Norte,JAN,901454.297
Nordeste,JAN,2379850.549
Sul,JAN,2347817.757
Norte,JAN,829319.925
Nordeste,JAN,2763245.44
Sudeste,JAN,6556377.059
Sul,JAN,2273434.202
Centro-Oeste,JAN,1183630.198
Norte,JAN,873974.456
Nordeste,JAN,2459723.949
Sul,JAN,2273434.202
Norte,JAN,799554.001
Nordeste,JAN,2590818.609
Sudeste,JAN,6135257.353
Sul,JAN,2244223.403
Centro-Oeste,JAN,1114472.03
Norte,JAN,827453.713
Nordeste,JAN,2309045.107
Sul,JAN,2244223.403
Norte,JAN,726873.85
Nordeste,JAN,2433230.024
Sudeste,JAN,6389713.69
Sul,JAN,2302787.404
Centro-Oeste,JAN,1085468.125
Norte,JAN,744998.362
Nordeste,JAN,2167468.998
Sul,JAN,2302787.404
Norte,JAN,749421.449
Nordeste,JAN,2361905.246
Sudeste,JAN,5863374.858
Sul,JAN,1991357.741
Centro-Oeste,JAN,991187.159
Norte,JAN,774402.444
Nordeste,JAN,2096845.289
Sul,JAN,1991357.741
Norte,JAN,746531.0
Nordeste,JAN,2274880.0
Sudeste,JAN,5934320.0
Sul,JAN,2006171.0
Centro-Oeste,JAN,943733.0
Norte,JAN,763653.0
Nordeste,JAN,2025531.0
Sul,JAN,2006171.0
Norte,JAN,759843.0
Nordeste,JAN,2295490.0
Sudeste,JAN,5864497.0
Sul,JAN,1951618.0
Centro-Oeste,JAN,958648.0
Norte,JAN,762663.0
Nordeste,JAN,2051983.0
Sul,JAN,1951618.0
Norte,JAN,726570.359
Nordeste,JAN,2302666.0
Sudeste,JAN,6476567.0
Sul,JAN,2062995.711
Centro-Oeste,JAN,989503.0
Norte,JAN,685195.0
Nordeste,JAN,2059745.0
Sul,JAN,2062995.711
Norte,JAN,651827.0
Nordeste,JAN,2222412.0
Sudeste,JAN,5991046.0
Sul,JAN,2012159.0
Centro-Oeste,JAN,920875.0
Norte,JAN,611381.0
